,Review,Rating
28,"[[('Maravilhoso', 'ADJ')], [('conteúdos', 'NOUN'), ('incríveis', 'ADJ'), ('fácil', 'ADJ'), ('acesso', 'NOUN'), ('matérias', 'NOUN'), ('falar', 'VERB'), ('aulas', 'NOUN'), ('mega', 'NOUN'), ('divertidas', 'VERB'), ('levando', 'VERB'), ('á', 'NOUN'), ('pensar', 'VERB'), ('alto', 'ADJ'), ('buscar', 'VERB'), ('conhecimento', 'NOUN')]]",5
29,"[[('conteúdo', 'NOUN'), ('é', 'VERB'), ('maravilhoso', 'ADJ'), ('reclamar', 'VERB'), ('deixe', 'VERB'), ('desejar', 'VERB')], [('É', 'VERB'), ('confuso', 'NOUN'), ('faltam-lhe', 'VERB'), ('opções', 'NOUN'), ('existem', 'VERB'), ('site', 'NOUN'), ('computador', 'NOUN')]]",2
30,"[[('Professores', 'NOUN'), ('divertidos', 'VERB'), ('bons', 'ADJ')], [('plano', 'NOUN'), ('estudo', 'NOUN'), ('é', 'VERB'), ('bagunçado', 'VERB')], [('Faltam', 'VERB'), ('atividades', 'NOUN')]]",3
31,"[[('cara', 'NOUN'), ('f*da', 'NOUN'), ('assisti', 'NOUN'), ('aulas', 'NOUN'), ('plano', 'NOUN'), ('falta', 'NOUN'), ('tempo', 'NOUN'), ('experiência', 'NOUN'), ('mito', 'NOUN'), ('maior', 'ADJ'), ('ODINHA', 'NOUN'), ('biologia', 'NOUN'), ('vou', 'VERB'), ('dar', 'VERB'), ('BEIJO', 'NOUN'), ('figurassa', 'VERB'), ('haha', 'NOUN')]]",5
32,"[[('App', 'NOUN'), ('maravilhoso', 'ADJ'), ('profs', 'NOUN'), ('maravilhosos', 'NOUN'), ('ISSO', 'NOUN'), ('É', 'VERB'), ('FAMÍLIA', 'NOUN'), ('DESCOMPLICA', 'VERB')]]",5
33,"[[('apaixonada', 'VERB'), ('❤❤❤', 'NOUN'), ('obrigada', 'VERB'), ('Descomplica', 'NOUN')]]",5
34,"[[('Demaissdsss', 'NOUN')]]",5
35,"[[('Ótimos', 'VERB'), ('professores', 'NOUN'), ('aulas', 'NOUN'), ('incriveis', 'ADJ'), ('disponibilidade', 'NOUN'), ('horario', 'NOUN')], [('ponto', 'NOUN'), ('interessante', 'ADJ'), ('é', 'VERB'), ('acesso', 'NOUN'), ('conhecimento', 'NOUN'), ('valor', 'NOUN'), ('acessivel', 'ADJ'), ('obrigado', 'VERB'), ('iniciativa', 'NOUN'), ('Descomplica', 'NOUN')], [('conhecimento', 'NOUN'), ('promovendo', 'VERB'), ('iniciativas', 'NOUN'), ('bem', 'NOUN'), ('desenvolvimento', 'NOUN')]]",5
36,"[[('Rubens', 'NOUN'), ('oda', 'NOUN'), ('escolhi', 'VERB'), ('amar', 'NOUN')]]",5
37,"[[('Conteúdo', 'NOUN'), ('excelência', 'NOUN')], []]",5
38,"[[('I', 'ADJ'), ('love', 'NOUN'), ('descomplica', 'NOUN')]]",5
39,"[[('aulas', 'NOUN'), ('organização', 'NOUN'), ('ótimas', 'NOUN'), ('pagamento', 'NOUN'), ('problemas', 'NOUN'), ('cobrança', 'NOUN')]]",3
40,"[[('App', 'NOUN'), ('é', 'VERB'), ('bom', 'ADJ'), ('assistência', 'NOUN'), ('péssima', 'ADJ'), ('tentando', 'VERB'), ('cancelar', 'VERB'), ('plano', 'NOUN'), ('faz', 'VERB'), ('dias', 'NOUN'), ('resolve', 'VERB')]]",1
41,"[[('Tragam', 'VERB'), ('conteúdo', 'NOUN'), ('site', 'NOUN'), ('pro', 'NOUN'), ('facilita', 'VERB'), ('vida', 'NOUN')]]",4
42,"[[('bom', 'ADJ')]]",5
43,"[[('Aplicativo', 'ADJ'), ('excelente', 'ADJ'), ('professores', 'NOUN'), ('incríveis', 'ADJ'), ('deixa', 'VERB'), ('desejar', 'VERB'), ('ausência', 'NOUN'), ('opção', 'NOUN'), ('baixar', 'VERB'), ('aulas', 'NOUN'), ('Cartão', 'NOUN'), ('SD', 'NOUN')], [('Poderia', 'VERB'), ('disponibilizar', 'VERB'), ('exercícios', 'NOUN'), ('site', 'NOUN'), ('App', 'NOUN')]]",4
44,"[[('aplicativo', 'ADJ'), ('conteúdo', 'NOUN'), ('plataforma', 'NOUN'), ('é', 'VERB'), ('ótimo', 'ADJ')], [('interface', 'NOUN'), ('redação', 'NOUN'), ('grande', 'ADJ'), ('ajuda', 'NOUN'), ('ser', 'VERB'), ('feito', 'VERB'), ('redação', 'NOUN'), ('deixar', 'VERB'), ('temas', 'NOUN'), ('visíveis', 'ADJ'), ('torna-se', 'NOUN'), ('complicado', 'VERB'), ('ir', 'VERB'), ('navegador', 'NOUN'), ('escolher', 'VERB'), ('tema', 'NOUN')], [('é', 'VERB'), ('ótimo', 'ADJ')]]",5
45,"[[('Top', 'NOUN')], [('otimizado', 'VERB')]]",5
46,"[[('precisam', 'VERB'), ('trazer', 'VERB'), ('modulo', 'NOUN'), ('redação', 'NOUN'), ('temas', 'NOUN'), ('correção', 'NOUN'), ('etc..', 'NOUN'), ('igual', 'ADJ'), ('site', 'NOUN')]]",4
