,Review,Rating
71,Não consigo ao menos entrar em minha conta.,1
72,Não consigo acessar mais as matérias e os vídeos baixados.,1
73,"O app não funciona! Raramente as aulas rodam, sempre dá erro. Quando abre a aula fica travando... Olha que minhas internet é 10Mb e o celular Moto G5",1
74,Até que é bom mas as lives travam DEMAIS,3
75,"O app é muito bom, mas inferior comparado ao site. A plataforma do descomplica tem um atendimento atencioso, apesar de pecar algumas vezes, como qualquer outro.",4
76,"Um pouco desorganizado e muitos bugs, tanto no site quanto no App ;-;",3
77,Awesome,5
78,"Ótima equipe, vcs são demais!!! Mas o app ainda deixa um pouco a desejar, não dá pra mandar a redação direto por ele e tem travado um pouco",4
79,"App perfeito! Aulas dinâmicas, equipe de professores nota mil! Recomendo.❤",5
80,I love this app. Now I can study to get my biggest dream,4
81,Poderiam responder mais rápido o WhatsApp,4
82,"Amei o app, desde que entrei no ensino médio quis assinar, agora finalmente consegui convencer minha mãe e eu e ela estamos amando 😍❤",5
83,"Comprei o plano de medicina em 2017,continuo pagando em 2018 mas não recebi atualização.",3
84,I think that is wonderful 😍.,5
85,"Eu gostei muito do app, mas nao tem tanto conteúdo quanto o próprio site do descomplica versão mobile.",4
86,"Professores engraçados, matéria completa, exercícios difíceis, mas é assim que se aprende.",5
87,Eu amo a plataforma,5
88,Excelente,5
89,"O aplicativo em celulares é bom, mas para tablets é bem ruim. Nos tablets, ele fica em modo retrato - prejudicando muito a interação - e não tem modo multi-tarefa, que seria usado para ver os PDFs das aulas. Minhas sugestões seriam, assim: (1) modo paisagem; (2) modo multitarefa.",4
90,"Ele é bem legal, me incentiva a estudar, porem gostaria de saber como e onde tirar minhas duvidas em relaçao as materias",5
91,Trava um pouco,3
92,Bonzão.,5
93,O melhor aplicativo!!,5
94,"App bem organizado, vídeo aulas em HD e com toda a programação da semana. Descomplica é mto bom 😍",5
95,"Me preparando para segunda graduação e adoraaando o app de voces. Amores, Nao tem pra IOS Nao?",5
96,"Três sugestões:  1) Poder configurar valores intermediários de velocidade de reprodução dos vídeos. Atualmente, temos apenas as opções 1, 1.5 e 2. Poderia ter 1.1, 1.2, 1.3, 1.4, 1.6, 1.7, 1.8, 1.9... ou deixar aberto. Porque 1.5 é muito rapido, e 1 eu acho muito lento.  2) Poder setar, em configurações, a velocidade padrão de execução dos vídeos... pois eles voltam sempre para 1.  3) Nas aulas, dar a possibilidade de baixar uma disciplina inteira ou pelo menos assuntos inteiros, sem ter que entrar em cada um.",5
97,"Alguns  problemas  ao  se  fazer  login  no  chat  e Alguns  traventos  ao  digitar  mensagens,",4
98,"App fácil de ser utilizado. A única coisa ruim é que as aulas não estão em ordem cronológica, mas quando se quer estudar algo específico é fácil procurar as aulas dentro de determinado assunto. Aulas ótimas.",5
99,"Gostoi da versão para o Ensino Médio. Agora, poderia dá uma atenção melhor pra esse público",4
