,Review,Rating
57,"Não funciona, diz que não conseguiu se conectar ao servidor. Péssimo .",1
58,"Diz que não tem conexão com a internet mesmo com o celular conectado, tanto no wi-fi quanto no 4G.",1
59,Ruim,1
60,Alguma forma de trocar a foto? 😂😂,4
61,"Os comerciais desta aplicação começam dizendo que ela pode ser usada por quem perdeu o título de eleitor. Como alguém que perdeu o título de eleitor pode lembrar do número de inscrição do título? Se a aplicação já pede nome da pessoa, data de nascimento, nomes de pai e mãe, por que ainda precisa do número de inscrição do eleitor?",3
62,"Uma ideia excepcional, mas uma execução desastrosa. O APP dá erro d &quot;verificar conexão com a internet&quot;, com WiFi e 3/4G ativos. Exige o número do título p acessar o APP, sendo q pela internet, conseguimos consultar o número do título com nm completo, dt nascimento e nm da mãe. App muito ruim, infelizmente.",1
63,Aplicativo não acessa. Da erro.,1
64,"Diz que não tenho acesso a internet. Pior que ainda tem propaganda em rede nacional e não funciona, que vergonha.",1
65,"Coloquem a opção de pesquisar o número do título no app, aí sim vai ser uma ferramenta útil!",3
66,"Quando abro o aplicativo fica uma tela bramca e mais nada. O aplicativo contém vários erros, os responsáveis devem arrumar o app",1
67,Comigo funcionou. Mas porque colocam prints na Google play com o app rodando no iOS?,1
68,"Coloco meus dados e aparece uma mensagem de eleitor não encontrado. Verifiquei os dados mais de uma vez e está tudo certo, mas não consigo usar o app.",1
69,"TSE faz propaganda desse app para passar vergonha. Após o preenchimento com os dados aparece a mensagem &quot;verifique sua conexão&quot; mesmo estando o wi-fi ligado. Pelo que vejo este comentário se repete dezenas de vezes por diferentes pessoas em datas divergentes, logo, já deveria ter sido concertado pela empresa responsável. Como confiar em um processo eleitoral digital se o TSE não é capaz de desenvolver um app tão simples como este? O TSE deve uma explicação formal aos que baixaram o aplicativo e se frustaram. É o mínimo que se espera de um dos órgãos mais importantes para a democracia brasileira.",1
70,"O app é bom, mas minha foto ta horrível kkkk não uso nem a pau kkk",5
71,Aparece um pop-up escrito &quot;Atenção&quot;...,1
72,não funciona não acha o cadastro,1
73,Simplesmente diz &quot;eleitor não encontrado&quot;. Já reescrevi os dados e nada de funcionar.,1
74,"Hahaha, trava no 100%",1
75,"Depois de adicionar minhas informações, um pop up com o nome &quot;atenção&quot; aparece, mas não tem mais nada escrito além disso... Chequei minhas informações e são iguais às que uso na internet para fazer consultas",1
76,Cumpre com o que promete,5
77,A versão digital do meu título de eleitor! 👌,5
78,Prático e eficiente.,5
79,Funciona perfeitamente.,5
80,"O meu conectou, vamos ver no dia o que acontece",3
81,Após informar meus dados o app diz que estou sem conexão,1
82,"Sempre fala que não há conexão com a internet. Além de não salvar dados. Uma pena, é uma excelente ideia!",1
83,Aqui funcionou de boa,5
84,"App bom, sem problemas até agora.",4
85,"A justiça eleitoral brasileira investe em tanta coisa mas, não investe em credibilidade.",1
86,Da erro de conexão com a internet...,1
87,"Não abre fica com tela branca, se esse APP funcionar vai ser uma boa!",1
88,"Aparece numero de inscricao invalido, sendo que esta correto",1
89,Funciona,5
90,Péssimo App. Após o preenchimento dos dados cadastrais o mesmo consta a mensagem de 'Atenção' e nada mais.,1
91,Extremamente instável e apresenta sempre a mensagem de que estou sem conexão quando tento fazer o login.,1
92,Pessimo,1
93,"App bosta, não presta, aliás nada do governo presta.",1
94,"Uma proposta boa, mas o app tem erro. Diz para verificar conexão com a internet, mesmo com o aparelho conectado via wi-fi.",1
95,"Diz que estou sem conexão com internet (tanto no 4G quanto Wi-fi). UX ruim. Nao tem opção de &quot;lembrar número do título&quot; (o site oferece esse recurso apenas com nome completo e data de nascimento, mas o app não permite lembrar)",1
96,Está dando erro de conexão. TSE ainda faz propaganda na tv desse app defeituoso.,1
97,Não consegui acesso. Informa para verificar o acesso a Internet.,1
98,Sempre aparece que não tenho conexão com a internet,1
99,"nao funciona, da erro de conexão de internet sendo que já testei em várias redes",1
